2025-01-20 16:50:26 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-20 16:50:26 [restartedMain] INFO  com.Tekarch.UserService.UserServiceApplication - Starting UserServiceApplication using Java 17.0.9 with PID 5514 (/Users/niwas/IdeaProjects/TekarchUserService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchUserService)
2025-01-20 16:50:26 [restartedMain] INFO  com.Tekarch.UserService.UserServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-20 16:50:27 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-20 16:50:27 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-20 16:50:30 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5001 (http)
2025-01-20 16:50:30 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5001"]
2025-01-20 16:50:30 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-20 16:50:30 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-20 16:50:30 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-20 16:50:30 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3576 ms
2025-01-20 16:50:30 [restartedMain] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.apache.logging.log4j.Logger com.Tekarch.UserService.Controller.UserController.logger
2025-01-20 16:50:31 [restartedMain] WARN  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-01-20 16:50:31 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5001"]
2025-01-20 16:50:31 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5001 (http) with context path '/'
2025-01-20 16:50:31 [restartedMain] INFO  com.Tekarch.UserService.UserServiceApplication - Started UserServiceApplication in 6.002 seconds (process running for 8.44)
2025-01-20 16:53:39 [http-nio-5001-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-20 16:53:39 [http-nio-5001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-20 16:53:39 [http-nio-5001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2025-01-20 16:53:41 [http-nio-5001-exec-2] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 1003 ms
2025-01-20 19:13:42 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-20 19:13:42 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-01-21 10:57:29 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-21 10:57:29 [restartedMain] INFO  com.Tekarch.UserService.UserServiceApplication - Starting UserServiceApplication using Java 17.0.9 with PID 4835 (/Users/niwas/IdeaProjects/TekarchUserService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchUserService)
2025-01-21 10:57:29 [restartedMain] INFO  com.Tekarch.UserService.UserServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-21 10:57:29 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-21 10:57:29 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
